team_name,region,seed,rating,play_in,first_four,second_round,sweet_sixteen,elite_eight,final_four,championship_game,champ
Duke,East,1,29.786852850808824,FALSE,1,0.999,0.924,0.767,0.601,0.384,0.222
Siena,East,16,-0.9673132141911768,FALSE,1,0.001,0,0,0,0,0
Ohio State,East,8,18.444760850808823,FALSE,1,0.608,0.152,0.035,0.012,0.001,0
TCU,East,9,15.512304850808825,FALSE,1,0.392,0.082,0.012,0.003,0,0
St. John's,East,5,22.313761350808825,FALSE,1,0.895,0.546,0.24,0.098,0.036,0.016
Northern Iowa,East,12,9.674398100808824,FALSE,1,0.104,0.004,0,0,0,0
Kansas,East,4,19.199579850808824,FALSE,1,0.927,0.375,0.12,0.028,0.009,0
Cal Baptist,East,13,4.575795700808823,FALSE,1,0.073,0.002,0,0,0,0
Louisville,East,6,21.756787850808823,FALSE,1,0.792,0.393,0.142,0.056,0.02,0.004
South Florida,East,11,14.114404350808822,FALSE,1,0.208,0.02,0.002,0,0,0
Michigan State,East,3,22.093233350808823,FALSE,1,0.968,0.541,0.292,0.092,0.037,0.013
North Dakota State,East,14,4.249180600808823,FALSE,1,0.032,0,0,0,0,0
UCLA,East,7,18.304180350808824,FALSE,1,0.699,0.27,0.054,0.016,0.005,0.001
UCF,East,10,12.878356850808824,FALSE,1,0.301,0.032,0.004,0.001,0,0
UConn,East,2,21.765869850808823,FALSE,1,0.989,0.655,0.331,0.092,0.034,0.007
Furman,East,15,-0.570520429191177,FALSE,1,0.011,0,0,0,0,0
Florida,South,1,27.170000850808822,FALSE,1,1,0.892,0.681,0.427,0.214,0.108
Lehigh,South,16,-6.528550499191177,TRUE,0.635,0,0,0,0,0,0
Prairie View A&M,South,16,-9.497929649191176,TRUE,0.365,0,0,0,0,0,0
Clemson,South,8,15.773868850808825,FALSE,1,0.433,0.07,0.012,0.002,0,0
Iowa,South,9,17.511080350808825,FALSE,1,0.567,0.126,0.03,0.006,0,0
Vanderbilt,South,5,21.58628035080882,FALSE,1,0.881,0.5,0.198,0.079,0.02,0.006
McNeese,South,12,8.995555100808822,FALSE,1,0.119,0.004,0,0,0,0
Nebraska,South,4,19.808177850808825,FALSE,1,0.969,0.442,0.128,0.048,0.01,0.002
Troy,South,13,1.4305703008088235,FALSE,1,0.032,0,0,0,0,0
North Carolina,South,6,18.039739350808823,FALSE,1,0.675,0.186,0.044,0.012,0.002,0.001
VCU,South,11,13.552731850808822,FALSE,1,0.325,0.032,0.006,0,0,0
Illinois,South,3,24.692372350808824,FALSE,1,0.994,0.764,0.422,0.216,0.078,0.034
Penn,South,14,1.938119850808824,FALSE,1,0.006,0,0,0,0,0
Saint Mary's,South,7,17.379241350808826,FALSE,1,0.563,0.129,0.028,0.008,0.002,0.001
Texas A&M,South,10,15.670460850808825,FALSE,1,0.437,0.067,0.014,0.003,0.001,0
Houston,South,2,25.02826885080882,FALSE,1,0.989,0.787,0.436,0.2,0.086,0.033
Idaho,South,15,1.4883796508088234,FALSE,1,0.012,0,0,0,0,0
