team_name,region,seed,rating,play_in,first_four,second_round,sweet_sixteen,elite_eight,final_four,championship_game,champ
Duke,East,1,29.786852850808824,FALSE,1,1,0.917,0.745,0.594,0.392,0.244
Siena,East,16,-0.9673132141911768,FALSE,1,0,0,0,0,0,0
Ohio State,East,8,18.444760850808823,FALSE,1,0,0,0,0,0,0
TCU,East,9,15.512304850808825,FALSE,1,1,0.082,0.018,0.005,0.002,0
St. John's,East,5,22.313761350808825,FALSE,1,1,0.631,0.278,0.104,0.04,0.015
Northern Iowa,East,12,9.674398100808824,FALSE,1,0,0,0,0,0,0
Kansas,East,4,19.199579850808824,FALSE,1,1,0.369,0.12,0.032,0.009,0
Cal Baptist,East,13,4.575795700808823,FALSE,1,0,0,0,0,0,0
Louisville,East,6,21.756787850808823,FALSE,1,1,0.492,0.172,0.062,0.02,0.01
South Florida,East,11,14.114404350808822,FALSE,1,0,0,0,0,0,0
Michigan State,East,3,22.093233350808823,FALSE,1,1,0.507,0.274,0.08,0.027,0.008
North Dakota State,East,14,4.249180600808823,FALSE,1,0,0,0,0,0,0
UCLA,East,7,18.304180350808824,FALSE,1,1,0.374,0.058,0.02,0.004,0
UCF,East,10,12.878356850808824,FALSE,1,0,0,0,0,0,0
UConn,East,2,21.765869850808823,FALSE,1,1,0.626,0.334,0.104,0.042,0.012
Furman,East,15,-0.570520429191177,FALSE,1,0,0,0,0,0,0
Florida,South,1,27.170000850808822,FALSE,1,1,0.84,0.653,0.404,0.203,0.1
Lehigh,South,16,-6.528550499191177,TRUE,0,0,0,0,0,0,0
Prairie View A&M,South,16,-9.497929649191176,TRUE,1,0,0,0,0,0,0
Clemson,South,8,15.773868850808825,FALSE,1,0,0,0,0,0,0
Iowa,South,9,17.511080350808825,FALSE,1,1,0.16,0.037,0.01,0.001,0
Vanderbilt,South,5,21.58628035080882,FALSE,1,1,0.575,0.198,0.08,0.021,0.005
McNeese,South,12,8.995555100808822,FALSE,1,0,0,0,0,0,0
Nebraska,South,4,19.808177850808825,FALSE,1,1,0.426,0.121,0.036,0.007,0.002
Troy,South,13,1.4305703008088235,FALSE,1,0,0,0,0,0,0
North Carolina,South,6,18.039739350808823,FALSE,1,0,0,0,0,0,0
VCU,South,11,13.552731850808822,FALSE,1,1,0.128,0.02,0.002,0,0
Illinois,South,3,24.692372350808824,FALSE,1,1,0.872,0.476,0.236,0.096,0.04
Penn,South,14,1.938119850808824,FALSE,1,0,0,0,0,0,0
Saint Mary's,South,7,17.379241350808826,FALSE,1,0,0,0,0,0,0
Texas A&M,South,10,15.670460850808825,FALSE,1,1,0.184,0.029,0.01,0.001,0
Houston,South,2,25.02826885080882,FALSE,1,1,0.816,0.466,0.221,0.094,0.037
Idaho,South,15,1.4883796508088234,FALSE,1,0,0,0,0,0,0
Arizona,West,1,28.766819350808824,FALSE,1,1,0.892,0.725,0.496,0.289,0.154
Long Island,West,16,-2.827293799191177,FALSE,1,0,0,0,0,0,0
Villanova,West,8,15.227182350808825,FALSE,1,0,0,0,0,0,0
Utah State,West,9,16.179794350808823,FALSE,1,1,0.108,0.024,0.007,0,0
Wisconsin,West,5,19.49253585080882,FALSE,1,0,0,0,0,0,0
High Point,West,12,8.221148900808824,FALSE,1,1,0.088,0.005,0,0,0
Arkansas,West,4,21.788351350808824,FALSE,1,1,0.912,0.354,0.145,0.038,0.013
Hawaii,West,13,5.061724050808823,FALSE,1,0,0,0,0,0,0
BYU,West,6,19.636221850808823,FALSE,1,0,0,0,0,0,0
NC State,West,11,16.277269350808822,TRUE,0,0,0,0,0,0,0
Texas,West,11,15.184030350808824,TRUE,1,1,0.225,0.034,0.009,0.001,0
Gonzaga,West,3,22.86857135080882,FALSE,1,1,0.775,0.377,0.138,0.056,0.018
Kennesaw State,West,14,1.8284523008088231,FALSE,1,0,0,0,0,0,0
Miami (FL),West,7,16.937165850808825,FALSE,1,1,0.232,0.032,0.007,0.002,0
Missouri,West,10,12.869382350808824,FALSE,1,0,0,0,0,0,0
Purdue,West,2,24.61076435080882,FALSE,1,1,0.768,0.449,0.198,0.079,0.034
Queens (NC),West,15,-1.026304834191177,FALSE,1,0,0,0,0,0,0
Michigan,Midwest,1,30.382857850808826,FALSE,1,1,0.938,0.784,0.603,0.412,0.245
Howard,Midwest,16,-1.7363812391911764,TRUE,1,0,0,0,0,0,0
UMBC,Midwest,16,-0.29001104919117715,TRUE,0,0,0,0,0,0,0
Georgia,Midwest,8,17.83008285080882,FALSE,1,0,0,0,0,0,0
Saint Louis,Midwest,9,15.554661350808823,FALSE,1,1,0.062,0.009,0.002,0,0
Texas Tech,Midwest,5,20.331972350808822,FALSE,1,1,0.462,0.144,0.029,0.005,0.002
Akron,Midwest,12,9.802136500808825,FALSE,1,0,0,0,0,0,0
Alabama,Midwest,4,21.35964985080882,FALSE,1,1,0.538,0.18,0.062,0.021,0.006
Hofstra,Midwest,13,6.684317650808824,FALSE,1,0,0,0,0,0,0
Tennessee,Midwest,6,20.068134850808825,FALSE,1,1,0.456,0.106,0.029,0.007,0
SMU,Midwest,11,15.501344850808824,TRUE,0,0,0,0,0,0,0
Miami (OH),Midwest,11,6.536084750808824,TRUE,1,0,0,0,0,0,0
Virginia,Midwest,3,20.824362850808825,FALSE,1,1,0.544,0.214,0.048,0.015,0.003
Wright State,Midwest,14,1.6098932508088235,FALSE,1,0,0,0,0,0,0
Kentucky,Midwest,7,18.810295350808826,FALSE,1,1,0.233,0.036,0.016,0.004,0.001
Santa Clara,Midwest,10,15.727479350808824,FALSE,1,0,0,0,0,0,0
Iowa State,Midwest,2,25.911091350808825,FALSE,1,1,0.767,0.526,0.21,0.11,0.052
Tennessee State,Midwest,15,-0.9137887841911768,FALSE,1,0,0,0,0,0,0
